cycle_length,lane1_present_num_vehicles,lane2_present_num_vehicles,lane3_present_num_vehicles,lane4_present_num_vehicles,lane1_upcoming_num_vehicles,lane2_upcoming_num_vehicles,lane3_upcoming_num_vehicles,lane4_upcoming_num_vehicles,ew_present_waiting_times,ns_present_waiting_times,ew_upcoming_waiting_times,ns_upcoming_waiting_times,time_of_day,flow_ratios,ew_present_green_time,ns_present_green_time,ew_upcoming_green_time,ns_upcoming_green_time
120,58,59,31,34,56,69,7,27,21,138.36657883250243,125.36158566591487,141.35372072695205,17,0.2787931040651308,138.36657883250243,125.36158566591487,141.35372072695205,157.77352224351802
120,56,69,7,27,19,42,45,10,11,201.2129053894244,257.3060108385834,174.11227808700235,22,0.27907499839754335,201.2129053894244,257.3060108385834,174.11227808700235,159.2027929464184
120,19,42,45,10,65,15,39,62,55,85.17557498314046,81.1893154000881,123.11862963454064,14,0.5459470559860142,85.17557498314046,81.1893154000881,123.11862963454064,119.72005701405389
120,65,15,39,62,25,14,54,30,47,184.70711073343423,155.76764202632583,134.51125192937482,16,0.24630650521294462,184.70711073343423,155.76764202632583,134.51125192937482,85.07534372688036
120,25,14,54,30,28,63,34,16,31,83.7048432779867,49.82682176278083,54.218464633538076,21,0.6572953930090357,83.7048432779867,49.82682176278083,54.218464633538076,98.55824038932805
120,28,63,34,16,7,59,74,6,26,58.450561586675875,108.81915690170379,129.82747423961501,2,0.5949197882935027,58.450561586675875,108.81915690170379,129.82747423961501,105.66440705356537
120,7,59,74,6,26,24,58,36,44,63.619293163909,46.818366304276914,57.854669134245334,7,0.7620281485569429,63.619293163909,46.818366304276914,57.854669134245334,33.65562369448533
120,26,24,58,36,57,21,55,54,51,168.9788725541676,111.74962314408826,169.1468903914726,23,0.34849722352786316,168.9788725541676,111.74962314408826,169.1468903914726,163.40836379414347
120,57,21,55,54,6,72,32,65,54,87.22666660337512,84.43922800705045,51.675528616282406,22,0.6743434029814683,87.22666660337512,84.43922800705045,51.675528616282406,109.35430266665637
120,6,72,32,65,34,9,68,15,32,95.82351519369284,216.79408494549355,211.064674033872,6,0.3396179810763632,95.82351519369284,216.79408494549355,211.064674033872,54.72050644873712
120,34,9,68,15,42,64,25,72,38,89.32753807250197,23.751863243147596,55.186954912820354,0,0.7777869707781193,89.32753807250197,23.751863243147596,55.186954912820354,95.32968217534899
120,42,64,25,72,6,27,31,38,38,62.139996531725394,97.669613400009,46.06350523694819,18,0.4457269265997652,62.139996531725394,97.669613400009,46.06350523694819,55.55249605953952
120,6,27,31,38,68,50,31,12,59,47.77794269589954,57.33927850396215,101.19922532265517,23,0.6915329621592383,47.77794269589954,57.33927850396215,101.19922532265517,77.36309464661588
120,68,50,31,12,64,56,54,12,28,55.866267280159946,39.50339494691967,54.46398336625859,17,0.9061418080555654,55.866267280159946,39.50339494691967,54.46398336625859,47.66325217533783
120,64,56,54,12,25,14,33,19,26,109.66670530768447,100.30420240960815,60.89179254475522,0,0.5905873009452991,109.66670530768447,100.30420240960815,60.89179254475522,35.21595526545659
120,25,14,33,19,37,50,43,9,17,94.11415523577284,58.40325168541544,124.44618304300508,10,0.35383368794340786,94.11415523577284,58.40325168541544,124.44618304300508,147.5316352669576
120,37,50,43,9,62,32,61,23,59,50.260022495346455,57.524655189123656,71.09068379925806,0,0.9088983207359413,50.260022495346455,57.524655189123656,71.09068379925806,38.76199279115096
120,62,32,61,23,26,47,41,13,16,128.14571835432182,72.13410829414026,87.81919658450047,14,0.48686364018532285,128.14571835432182,72.13410829414026,87.81919658450047,100.92723019459802
